date,page,words
20140215,0.0,0.0
20140216,7.0,538.0
20140217,0.0,0.0
20140218,8.0,883.0
20140219,9.0,956.0
20140220,7.0,417.0
20140221,8.0,493.0
20140222,9.0,404.0
20140223,17.0,383.0
20140223,10.0,851.0
20140224,0.0,0.0
20140225,0.0,0.0
20140226,4.0,586.0
20140227,0.0,0.0
20140228,10.0,798.0
20140301,0.0,0.0
20140302,10.0,1244.0
20140303,0.0,0.0
20140304,0.0,0.0
20140305,1.0,1064.0
20140306,10.0,946.0
20140307,6.0,1087.0
20140307,6.0,1087.0
20140307,10.0,929.0
20140308,0.0,0.0
20140309,0.0,0.0
20140310,1.0,1217.0
20140311,4.0,606.0
20140312,0.0,693.0
20140312,1.0,1553.0
20140313,0.0,0.0
20140314,12.0,810.0
20140315,7.0,603.0
20140315,7.0,866.0
20140316,14.0,1176.0
20140317,0.0,0.0
20140318,9.0,143.0
20140318,12.0,1074.0
20140319,6.0,441.0
20140320,0.0,0.0
20140321,4.0,900.0
20140322,1.0,1333.0
20140323,0.0,0.0
20140324,0.0,0.0
20140325,9.0,612.0
20140326,0.0,0.0
20140327,10.0,1311.0
20140327,8.0,1119.0
20140328,10.0,158.0
20140328,8.0,501.0
20140329,8.0,1243.0
20140329,3.0,722.0
20140329,8.0,1351.0
20140329,8.0,542.0
20140330,8.0,1487.0
20140331,0.0,0.0
20140401,10.0,692.0
20140402,0.0,159.0
20140402,6.0,824.0
20140403,0.0,0.0
20140404,6.0,649.0
20140405,4.0,630.0
20140406,0.0,0.0
20140407,1.0,1464.0
20140407,14.0,1168.0
20140408,0.0,0.0
20140409,0.0,0.0
20140410,0.0,0.0
20140411,0.0,503.0
20140412,13.0,799.0
20140413,0.0,0.0
20140414,0.0,0.0
20140415,0.0,0.0
20140416,9.0,746.0
20140416,4.0,734.0
20140416,0.0,668.0
20140417,0.0,0.0
20140418,3.0,859.0
20140419,0.0,0.0
20140420,0.0,0.0
20140421,0.0,0.0
20140422,0.0,0.0
20140423,0.0,0.0
20140424,0.0,0.0
20140425,0.0,0.0
20140426,0.0,0.0
20140427,12.0,138.0
20140427,6.0,1419.0
20140427,10.0,641.0
20140428,0.0,0.0
20140429,0.0,0.0
20140430,9.0,1540.0
20140430,1.0,1337.0
20140501,0.0,0.0
20140502,0.0,0.0
20140503,0.0,0.0
20140504,1.0,1266.0
20140504,20.0,740.0
20140504,35.0,13202.0
20140505,0.0,0.0
20140506,3.0,897.0
20140507,8.0,625.0
20140508,0.0,0.0
20140509,0.0,0.0
20140510,9.0,719.0
20140511,0.0,0.0
20140512,0.0,0.0
20140513,7.0,754.0
20140514,10.0,1000.0
20140514,4.0,1163.0
20140515,0.0,0.0
20140516,1.0,1142.0
20140516,17.0,783.0
20140517,1.0,1534.0
20140518,1.0,1232.0
20140518,26.0,6210.0
20140519,0.0,0.0
20140520,0.0,0.0
20140521,0.0,0.0
20140522,0.0,492.0
20140522,10.0,987.0
20140523,8.0,799.0
20140523,3.0,728.0
20140524,8.0,955.0
20140525,1.0,2270.0
20140526,1.0,1402.0
20140526,0.0,440.0
20140527,0.0,0.0
20140528,7.0,924.0
20140529,0.0,0.0
20140530,0.0,0.0
20140531,4.0,1274.0
20140601,0.0,0.0
20140602,0.0,0.0
20140603,0.0,0.0
20140604,1.0,1183.0
20140605,0.0,611.0
20140606,7.0,324.0
20140607,0.0,0.0
20140608,0.0,0.0
20140609,0.0,0.0
20140610,0.0,1167.0
20140611,9.0,382.0
20140612,0.0,0.0
