year,count,article
1900,10,"ON LINCOLN, POLITICIAN; Greatest in Modern History, Says the Rev. Mr. Crowe. His Supreme Achievements Used as an Illustration of the Necessity of Wise Politics."
1901,8,WOMAN POLITICIAN MARRIES.; St. Louis female Suffragist Now the Wife of a Lawyer.
1902,8,GOV. ODELL AND THE JUDGES.(2)
1903,8,A PSYCHIC PUZZLE.
1904,2,"GIBBS ART SALE LIVELIER.; Total of $25,280 Is Realized at Second Evening of Auction."
1905,4,Kate Douglas Wiggin Makes a Hit in London as a Speaker.
1906,2,PLATT AND ODELL SHAKE AT AMEN CORNER DINNER; Meet on the One Night When Hatchets Are Buried. ODELLTALKS OF BOSS BAITING Says the Ameners Must Hate a Lot of People -- Something on the Bosses' Side.
1907,4,MRS. S.I. HURTT DIES.; Widow of F.W. Hurtt Gave Much to Education and Charity.
1908,3,WOMEN MUSN'T SMOKE.; City Ordinance Now Forbids Them to Do So In Public Places.
1909,7,THE BASES OF MUNICIPAL CREDIT.; VIII. Profits.
1910,8,Women as Politicians.
1911,4,"WHAT ""PEOPLE IN BOOKS"" ARE DOING; They Are Making Love and Having Many Other Adventures, Thanks to Their Makers"
1912,9,THE SIDEWALK PARADERS; Outnumbered Women in the Street -- Half Century of Suffragism Judged.
1913,2,FLOCK TO THE INAUGURATION.; Thousands of Visitors Pour Into Washington -- City in Gay Attire.
1914,3,Mr. Wheeler Says They Succeed Better Without Suffrage.
1915,6,THE SCHOOL TRAINS THEM.; Girls as Well as Boys Are Taught to be Citizens.
1916,4,A Surrender.
1917,1,HOPEFUL OUTLOOK FOR THE REPUBLIC OF RUSSIA; Official Report by Dr. Christian L. Lange to the Carnegie Endowment for International Peace Not Searched at Frontier Day After Revolution Refugees in Petrograd Outbreak Long Foreseen Work of Zemstvos Middle Class's Influence Czar Like Louis XVI. Kerensky Chief Figure Reaction Improbable Clergy Subordinated HOPEFUL OUTLOOK FOR THE REPUBLIC OF RUSSIA Workmen's Influence Council's Position Troops Won Over Two Big Problems Outlook for the Republic Rural Conditions Difficult Racial Problems Finnish Question Delicate Free Poland Possible Able to Keep War Going Moral Effect on Germany
1918,0,
1919,1,ANARCHS AND ECSTASY
1920,2,"POLITICIANS A PERIL, DECLARES GEN. WOOD; He Denounces the Raising of Racial and Religious Issues in the Campaign. FOR A CONSTRUCTIVE POLICY Tells Illinois Crowds Republicans Must Not Try to Win on Mistakes of Democrats."
1921,2,NEW TEST FOR VOTERS; Case Against the Proposed Amendment Requiring Knowledgeof English
1922,5,NEW HEARST MOVE TO WIN WOMEN OVER; One Thousand Invited to a Conference to Be Held in WhitePlains Next Week.TO OFFSET RECENT SLAP Conners Said to Be Attempting to Get Female Voters of Westchester in Line.
1923,4,GAIETY GIRL'S MAGIC SMILE OPENED DOORS OF COMMONS; Lady Aster's New Colleague Just Smiled Her Way to Victory After Husband Had Lost His Seat -- Her Success Suggests Many Possibilities to Politicians of Old School.
1924,5,TOPICS OF THE TIMES.
1925,8,"Cobbett, Knight-Errant of the Nineteenth Century; Agitator, Shrewd Politician and Vigorous Writer in an English Biography"
1926,5,"JIM"" REED OF MISSOURI LOVES A FIGHT; Senator's Successes Have Been Achieved in ""Lost Causes"" -- Campaign Fund Inquiry Has Added to His Prestige SENATOR ""JIM"" REED OF MISSOURI"
1927,3,THE GERMAN STAGE -- A PLAY IN ENGLISH
1928,8,WHEN GREEK MEETS GREEK.
1929,4,"NEGRO'S PLACE UNDER HOOVER ASSAYED BY NEGRO EDUCATOR; The Engineer President, Lacking Sentiment, Favors Black Race Only as a Fraction Of the Whole Nation"
1930,6,Mr. Rogers Likes Prospect Of a Woman in the Senate
1931,11,"CANNON IN DENIAL DENOUNCES GLASS; He Charges Senator's Statement on Goldhurst Case Was That of 'Cowardly Politician.' TELLS OF CALL ON TUTTLE But He Says He Had No DealingsWith Woman Prosecutor, OnceOne of His Students. Glass Withholds Comment. Text of the Cannon Statement. Calls Them ""Venomous Charges."" Denies Price Was His Counsel Says He Did Not Appeal for Parole. Tuttle and Judge Deny Favor."
1932,1,"LIVING MONUMENTS TO THREE PRESIDENTS; Homes of Washington, Jefferson and Jackson Reflect the Characters of Their Builders and Their Vivid Eras LIVING MONUMENTS LEFT BY THREE PRESIDENTS The Homes of Washington, of Jefferson and of Jackson Reflect the Characters of Their Builders and Their Own Colorful Eras"
1933,4,SHADOWS THAT PASS ON
