year,count,article
1900,13,THE POLITICAL ISSUES.; PATERNALISM AND THE REPUBLIC.
1901,17,FROM THE LIBRARIAN OF THE MINNEAPOLIS PUBLIC LIBRARY.
1902,24,REPUBLICANS REBEL ON THE NAVAL BILL; Provision to Build Warships in Government Yards Carried. Congressmen Cannon and Hepburn Denounce the Conduct of Members of Their Party -- Democrats Accused of Paternalism.
1903,18,HARVARD STUDENTS PROTEST.; Action Taken by the Bursar Leads to an Indignation Meeting.
1904,15,PATERNALISM AT WORK.
1905,12,CIGARETTES AND PATERNALISM.; The Tendency Indicated by the Indiana Law the Greater Danger.
1906,18,TREASURY PATERNALISM.
1907,22,LATEST THING PATERNALISM.
1908,22,WARNS AGAINST PATERNALISM; President Taylor of Vassar Says It Threatens the Republic.
1909,25,A REBUKE TO PATERNALISM.
1910,28,Progress and Paternalism.
1911,7,THE HOUSE OF GOVERNORS.
1912,16,"GERMAN EXPERT COMPARES OUR GOVERNMENT WITH HIS; Dr. F.E. Junge, Who Is Here to Write a Book on That Subject, Compares Paternalism and Individualism, Monarchy and Democracy."
1913,19,"CONANT OPPOSES REGULATING TRUSTS; Commissioner of Corporations Is for Competition, Not Paternalism."
1914,17,SOUTH AMERICAN PRIDE.; It Resents Our Assumption of Superiority and Paternalism.
1915,16,UNLOYALTY OF ENGLAND'S WORKING CLASS.; Some Things Democracy Has Yet to Learn -- One Is to Banish Poverty Without the Blight of German Paternalism.
1916,8,CHURCH PEACE UNION'S PAN-AMERICAN PLAN.; Calls for an International Court and a Defensive Alliance -- Monroe Doctrine Condemned as Paternalism Now Out of Date.
1917,5,"NO REMEDY AT LAW FOR RISING COSTS; V.K. McElheny, Jr., Says Proposed State Regulation Would Only Increase Prices. HE FEARS A PATERNALISM Finds ""Reformers"" Differ as to Solution of Problem;-Present Market System Is Praised."
1918,10,"BANKERS' MEETING ENDS IN HARMONY; State Sections Win Recognition and Peace Reigns asConvention Closes.WAR PLEDGES RENEWEDOtto H. Kahn, In Address, WarnsAgainst Spread of Paternalism--Secretary Daniels Speaks. Would Revise Reserve Law. Kahn Fears Pternalism. Daniels Thanks Bankers."
1919,19,BURST OF OPTIMISM ON PARIS BOURSE; Chamber's Ratification of the Treaty Followed by Marked Rise in Prices. PATERNALISM CRITICISED Marseilles Business Man Attributes High Living Cost Largely to State Intervention.
1920,19,WHY STOP WITH RAILROADS?; Kansas Editor Suggests We Carry Paternalism to the Limit.
1921,25,"MILLER SEES PERIL IN PATERNALISM; Governor Pleads for Self-Help and Individualism at Health Centre Opening. LAGUARDIA TAKES ISSUE ""This Is 1921, Not 1900,"" He Says in Arguing for a State Welfare Policy. The Constitution and Human Rights. War Showed the State Remiss. Objects of the Health Centre."
1922,28,BANKERS CONDEMN BONUS.; Oppose Paternalism and Recognize Labor's Right to Organize.
1923,27,"THOMPSON VOICES AIMS AS POSSIBLE CANDIDATE; Illinois Justice Calls Supreme Court Foes 'Government Wreck- ers,' and Scores Paternalism."
1924,29,"FARM RELIEF BILL OPPOSED IN SENATE; Fletcher Calls Proposed $75,000,000 Loan Fund ""Paternalism Run Rampant."""
1925,34,RELIEF AND CHARITY.
1926,27,FORM JEFFERSON LEAGUE.; Founders Oppose Paternalism and Religious Tests for Office.
1927,25,"ASSAIL FEDERAL EDUCATION.; German-American Catholics Will Fight Government ""Paternalism."""
1928,24,EDWARDS ATTACKS FEDERAL 'PANACEAS'; New Jersey Senator Declares Paternalism Is Menacing States' Rights. CALLS DRY LAW A 'CANCER' Women of Government Club Urged to Promote Temperance by Killing Volsteadism.
1929,21,"HARBORD ATTACKS FEDERAL 'MEDDLING'; He Says Commissions Invade Powers the Constitution Reserves to the States. SEES TREND TO SOCIALISM General Tells Chamber at Springfield, Mass., That Individualismin America Is Threatened."
1930,21,"ASKS CHURCH TO ACT IN SOCIAL PROBLEMS; Rev. G.M. Stockdale Holds It is Duty of Christians to Work for Abolition of Poverty. SCORES IDOLATRY OF NAMES Pastor Quotes Prohibition, Referendum and Woman's Suffrage as Signsof Governmental Paternalism."
1931,44,"COMMENDS HOOVER FOR SHOLAS VETO; Leslie M. Shaw, in Radio Talk, Assails the Tendency Toward Government Paternalism."
1932,26,"'BIG BUSINESS' HIT BY MRS. ROOSEVELT; Governor's Wife, in Chautauqua Address, Says Depression Has Accentuated Interdependence. CRITICIZES ""PATERNALISM"" She Looks to Labor's Receiving ""Just Rewards,"" With Charity No Longer Necessary."
1933,19,"MILLIKAN CALLS FOR INITIATIVE IN NATION; In Address at Oberlin, He Hits 'Paternalism in Government' -- 7 Get Honorary Degrees."
1934,45,Olson Asks Wider Paternalism.
1935,31,Perils of Paternalism.
1936,33,FRATERNITY RULE BY STUDENTS ASKED; National Conference Chided for Not Training Young Members as Leaders. CHAPTER ADVISERS URGED Syracuse Council Director Holds Such a Plan Would Lessen Alumni Paternalism.
1937,32,HITS FARM PATERNALISM; Horticultural Leader Urges Growers to Be Self-Reliant
1938,31,"Vandenberg's Speech Assailing Roosevelt ""Paternalism"" and Urging Coalition; Quotes London Criticism"
