year,count,article
1900,2,NOTES AND NEWS.
1901,3,WOMEN POLITICIANS IN PARIS.; League Formed to Frown on Non-Voting Men and to Proclaim Liberty of Conscience.
1902,3,"A WOMAN ""OFFICIAL"" IN THE FRENCH MINISTRY.; Mile. Pattey Made Third in Rank After the Minister of Public Instruction."
1903,1,"The Rights of Woman.; REPUBLICS VERSUS WOMAN. Contrasting the Treatment Accorded to Woman in Aristocracies with that Meted out in Democracies. By Mrs. Woolsey, 12mo. Pp. xii.-170. New York: The Grafton Press."
1904,4,LOVE DETHRONED.; H.B. Marriott-Watson and the American Woman.
1905,1,WOMEN THREE CENTURIES AGO; THE WOMEN OF THE RENAISSANCE: A Study of Feminism. By R. de Maulde la Claviere. Translated by George Herbert Ely. Portrait. Pp. xvill.-510. 8vo. New York G.P. Putnam's Sons. $2.50.
1906,2,Woman Suffrage in Italy.
1907,3,A Queen's Bedchamber.; The Feminist Movement.
1908,1,FRENCH NOVELISTS WELL ESTIMATED; Miss Stephens Writes Account of Work and Personality of Living Gallican Writers of Fiction. CLIMBING THE HIMALAYA.
1909,4,"DETECTIVE TALES INTEREST PARIS; Translations of Conan Doyle's Stories in Great Vogue at Present -- ""Futurisme"" a Grotesque Freak Movement."
1910,4,"PHILADELPHIA BOOK NEWS; ROSTAND'S ""CHANTECLER"""
1911,18,A BLOW TO FEMINISM.; Women Who Sought French Government Office Found Ineligible.
1912,14,TUG OF PRIMAL INSTINCTS; In Discontented Working Women Not to be Satisfied by Feminism.
1913,34,FEMINISM.
1914,93,A CASE FOR FEMINISM.; Arguments for Both Sides May Be Drawn from Biology.
1915,55,Unconscious Feminism.
1916,30,John Martin's Ominous Characterization of the Feminist Woman.
1917,22,GERMANY HATES FEMINISM
1918,20,"DESCRIBES MAN AS THE 'WHOLE THING'; Mrs. Gilman Says if All the Women Died Man Would Get Along Without Them. LEAD IN HUMAN WORLD Tells Civic Club That Women Are the Only Animals That Are Subjugated. Men Best in Everything."" lory of Rearing Children."
1919,12,TOPICS OF THE TIMES.
1920,16,Mr. Shaw's Newest Woman
1921,16,THE NEW DARING.
1922,21,MAN AND THE NEW WOMAN.
1923,34,FEMINISM AND FETID LITERATURE; Feminism and Fetid Literature
1924,25,"CRITICIZES WOMEN FOR FUN, SAYS SEE; Manufacturer Who Assailed Feminism Declares It's a Yearly Habit."
1925,28,3 BILLIONS OFF OUR DEBT; Senator Ashurst Sees Cause to Thankfulness Despite Extravagance
1926,30,"ELLEN KEY, FEMINIST."
1927,34,WEIGHS WOMAN'S FREEDOM.; Mrs. Hale Finds Maternal Period Shortened to About 10 Years.
1928,24,AN EARLY FEMINIST.
1929,14,FEMINISM STIRS SAO PAULO.; Woman Lawyer to Appeal on Court's Denial of Vote.
1930,24,BAR GROUP ASSAILS RIVALS OF LAWYERS; Competition of Banks and Like Agencies Termed at Chicago Session Threat to Ethics. CLOSER ORGANIZING URGED Meeting of Attorneys General Hears Plea for Liberalizing of Parole Laws. Plea to Cut Prison Population. Move for Ties With Local Bodies. New Yorker Scores Competition. Cooperation With Press Urged. Woman Lawyer Raps Freedom.
1931,26,"JOHN REILLY DEAD; COLLECTED COINS; Planned to Be Engineer, but Devoted Most of His Life to His Hobby. WAS PRINCETON GRADUATE Had Largest Collection of Far Eastern Coins in World--Was 54 Years Old."
1932,14,"FEMINISM NOW BATTLES ON A NEW FRONT; Legal Rights Won, It Seeks to Demolish Barriers Set Up By Tradition FEMINISM FIGHTS A BATTLE ON A NEW FRONT Legal Rights Won, It Now Attacks Tradition"
1933,22,"FEMINISM: DR. PARKHURST'S LAST ARTICLE; Woman Triumphed Over Her Freedom, He Says, Proving Nature's Law DR. PARKHURST ON FEMINISM His Last Article Holds Woman Has Triumphed"
1934,19,"BARNARD DEAN FINDS ANTI-FEMINISM RISE; Miss Gildersleeve, Back, Sees Reaction Here and Abroad as Result of Depression."
1935,15,DEFINITION OF FEMINISM.; Mrs. Roosevelt Offers Her View at Press Conference.
1936,11,"CORREA iV1. WALSH; Writer on Economics and Sociology Studied in Europe,"
1937,8,WOMEN'S ORCHESTRA HEARD AT TOWN HALL; New Chamber Group Directed by Jeannette Scheerer in First Appearance
1938,5,"LATIN AMERICAN WOMEN FREER; Less Chaperoned, They Enter Sports, Trade, And Look North for Cultural Guidance"
1939,5,"MME. DE STE. CROIX, FRENCH FEMINIST; Philanthropist, Lecturer and Former League Delegate Dies in Menton SUFFRAGIST SINCE 1899 Founded Refuges for Women --Had Spoken at Several American Universities"
1940,7,WOMEN'S INTEREST SEEN IN ECONOMICS; Mrs. C.G. Woodhouse Holds There Is No Time for Feminism in World TodayWANT NO SPECIFIC RIGHTSHome Economists Told by B.G.Moon That Retailers DestroyMany Information Labels
1941,6,WHEN A LADY DRIVES A HACK
1942,1,"John Woolman, a Man of Strong Will and Good Deeds; A Biography of the Eighteenth Century Quaker Who Kept a Revealing Journal JOHN WOOLMAN, AMERICAN QUAKER. By Janet Whitney. With illustrations by George Gillett Whitney. 490 pp. An Atlantic Monthly Press Book. Boston: Little, Brown & Co. $3.75."
1943,2,"DR. JULES-BOIS, 7, POET, PLAYWRI6HT; the Superconscious Mind --Dies in Hospital Here AUTHOR OF FORTY BOOKS Contributed to Newspapers nd Periodicals--Had Lectured in Many U, S, Cities"
1944,4,Elections in France
1945,4,CONGRESS OF WOMEN OPENS IN PARIS TODAY
1946,1,WOMEN ANNOUNCERS; A BBC Official Reports on the Results of a Wartime Innovation in England
