year,count,article
1900,23,THE TRUE VALUE OF A PEDIGREE.
1901,30,TAILORS AND SOCIALISM; Student of Queer Things Offers Solution of the Connection Between the Two.
1902,30,DID THE ANCIENTS SMOKE?; Archaeologists Assert That Recent Excavations of Queer Pipes Prove That They Did.
1903,28,OFFICIAL'S QUEER CONDUCT.; Indications That Mr. Christiancy Was a Tool in the Hands of Designing Post Office Men.
1904,34,"CHAPPAQUA'S TORNADO CUT UP QUEER ANTICS; Piano Keys, Calf, and Pair of Trousers Took Flight."
1905,21,"MR. LINTON'S APHRODITE TRACED TO FLORENCE?; So Writes an English Critic to a Friend Here. STORY DENIED BY OWNER Mr. Linton Comes Forward with a New Theory That It Is Mazarin's Venus, That Cost $500,000."
1906,15,"DEMOCRATS HAMMERAWAY AT THE STAND-PATIERS; Towne Quotes Roosevelt's Attack on ""Vicious Protection Theory."" DALZELL ISSUES DEFIANCE No General Demand for Revision, He Says, and Republicans Will Welcome the Fight."
1907,36,"ANIMALS DISPROVE BOTH BURROUGHS AND LONG; Dr. Hornaday Opposes Nature Writers, Asserting at the Same Time that Animals Do Reason. Experiences with the Inmates of the Bronx Zoo Throw Light on Burroughs's Theory of Instinct."
1908,33,CURIOUS THEORY OF NUTRITION; Mr. Carrington Also Has Views On the Subject of Disease -- His Contentions Decidedly Queer. A Story of Oklahoma. Spring Moving Among Publishers. The Story of a Great Queen. Another Book on Socialism.
1909,26,"QUEER POSTAL CLUE TO BOY'S KIDNAPPING; "" Make Up Your Mind, You Stupid Father,"" a Woman Wrote to Tony Redes's Father. MAYBE SHE WANTED HIM No Claimant for $50 Reward Offered by Poor Parents -- Boy Has Been Missing Five Weeks."
1910,23,MYSTERIOUS THINGS THAT HAPPEN AT SEA; The Queer Stories the Sailors Tell of Vanished Crews and Ships That Sail Themselves.
1911,36,QUEER IDEAS PEOPLE HAVE ABOUT SNAKES; Keepers in the Bronx Zoo Are Sometimes Weary of Answering Foolish Questions.
1912,29,DYNAMITE NEAR TRACKS.; Pennsylvania Railroad Detectives Investigate Queer Case.
1913,21,CHRONICLES OF POVERTY.; Customs and Queer Notions of Finsbury's Poor Told in Reports.
1914,23,THE BILLARD BARGAINS.
1915,18,"AUSTRIANS ACTIVE IN ARTILLERY ATTACKS; Italians Repulse Them, But Think They Mask a New Offensive."
1916,23,FINANCIAL MARKETS; Queer Behavior of a Market That Tried to Keep Abreast of Returns.
1917,16,"Queer Predicament of the Mayor of Chicago; As Self Appointed Critic of His Country in Wartime, He Finds Himself Adrift from Reform Elements That Elected Him Queer Predicament of the Mayor of Chicago"
1918,10,SUPERINTENDENT ETTINGER.
1919,14,QUEER RESULTS OF GERMAN EDUCATION.
1920,14,QUEER SOUTHERN REPUBLICANS.
1921,19,QUEER GERMAN EXPORTS.
1922,20,"MISSING AMERICAN BELIEVED MURDERED; Philip Shield, A.R.A. Worker in Russia, Vanished While Out for Evening Stroll. SUICIDE THEORY SCOUTED Girl's Story of Gloomy Farewell May Have Been Prompted by Friends of Arrested Suspect."
1923,17,GOVERNOR SMITH YIELDS.
1924,25,QUEER PEOPLE
1925,35,QUEER GENIUSES AT ALBANY.
1926,41,A QUEER THEORY.
1927,32,"COUPLE FOUND SLAIN IN CAR NEAR PARIS; BOTH AMERICANS; Meredith Thought to Have Shot Miss Roberts, His Fiancee, and Then Himself. MYSTERY SHROUDS MOTIVE Music Students, They Spent Day in Joyous Reunion, Driving in the Country. MEREDITH WAS DIVORCED Police Have Theory of Another Woman in His Life, but His Friends Are Incredulous. COUPLE FOUND SLAIN IN OAR NEAR PARIS"
1928,24,THE OHIO PRIMARIES.
1929,23,MAN'S LONG ROAD TO SCIENTIFIC TRUTH; Thousands of Years Of Effort Led Up To Einstein's New Theory
1930,27,"THE ETHER IS DISCARDED; Einstein's Latest Idea of Radio's Medium Coincides With Steinmetz's, Who Said ""There Are No Ether Waves"" Back in the Beginning. Faraday the Pioneer. The Steinmetz Idea."
1931,22,"WOMAN MAKES GOOD HER CLAIM FOR A PLACE IN THE SKIES; Four Masters of the Airplane Refute the ""Weaker Sex"" Theory and Wing Their Way Onward Toward New Records and Laurels WOMAN'S PLACE IN THE SKIES As Master of the Airplane She Is Winging Her Way Onward Toward New Laurels"
1932,23,THE GOSPEL OF SPENDING.
1933,14,"Speed of Light Changes Daily, Finished Michelson Tests Indicate; Studies Completed by Two Scientists Appear to Upset Long- Maintained Theory on Which Einstein Based Work -- Velocity Variations Range Up to 12 Miles a Second. LIGHT SPEED VARIES STUDIES INDICATE"
1934,20,DUSTLESS OUTER SPACE.
1935,11,"Stephen Leacock on Humor; HUMOR: Its Theory and Technique. By Stephen Leacock. 268 pp. New York: Dodd, Mead & Co. $2.50."
1936,14,HOSPITABLE REPUBLICANS
1937,11,"New Mystery Stories; DEATH SITS ON THE BOARD. By John Rhode. 308 pp. New York: Dodd, Mead d Co. $2. New Mystery Stories"
1938,17,QUEER BLAST HURTS 4 ON GERMAN SHIP; Bomb Renort Is Sifted as the Vancouver Is Beached in Oakland Harbor
1939,15,HITS STATE TRADE CURBS; Prof. Logsdon Tells Marketing Meeting Laws Are Queer Mixture
1940,10,PROTECTED GERMAN MINDS
1941,7,A SOUR NOTE
1942,2,New Gravitation Method Offered As Link in Einstein Theories; Dr. Birkhoff of Harvard Presents System at Puebla -- R.R. McMath Applies Motion Picture Technique to New Solar Study NEW METHOD LINKS EINSTEIN THEORIES
1943,1,LIFE AND WORKS OF A SHORT-WAVE EXPERT
1944,2,Books of the Times
1945,4,"VENEZUELAN HAILS NEW MEDICAL FIND; Pre-Columbian Bones Prove Tuberculosis Indigenous to New World, Savant Says"
1946,1,Letters to The Times; Our Color Bar Criticized Suggestion Is Made That U.N. As- sembly Meet in Southern States
1947,7,"COLLYER MANSION YIELDS JUNK, CATS; Police Barely Make a Dent in the Debris as They Search for Surviving Brother"
1948,6,Books of the Times
1949,4,REPUBLICANS DELAY DECISION ON MAYOR; Chairmen Will Await Action of Democrats on Candidate in Try for Coalition
1950,1,RELIGIOUS RECLUSE MOURNED IN INDIA; Shri Ramana Maharishi Was Called a 'Living Saint'-- Made Abode in Cave
1951,4,"QUEER BALL GAME BRINGS POLICE RAID; Catcher's Fish Net, Pitcher's Strange Delivery, Were Just Bookmaking, It Is Charged"
1952,4,National Foundation Urges Congress to Weigh Importance of Research to the Community
1953,1,New Publications on Business Bookshelf
1954,0,
1955,4,"There Goes Mad Anthony'; GHOSTS IN AMERICAN HOUSES. By James Reynolds. Illustrated by the author. 229 pp. New York: Farrar, Straus & Cudahy. $12.50."
1956,3,Foreign Affairs; The Imperial Succession in France and Britain Formulae Sought Description Difficult
1957,0,
1958,2,Adventure Into the Lost World of Polynesia's Past; AKU-AKU: The Secret of Easter Island. By Thor Heyerdahl. Illustrated. 384 pp. Chicago: Rand McNally & Co. $6.95.
1959,3,Atomic Argus
