Year, Quarter, Zip_Code,State,Borough,2009_Price,2014_Price,Change,Impact
2014,1,10453,NY,Bronx,500000,500000,0,
2014,1,10457,NY,Bronx,950000,5000000,4050000,
2014,1,10460,NY,Bronx,0,540000,540000,
2014,1,10458,NY,Bronx,1300000,356250,-943750,
2014,1,10467,NY,Bronx,159000,151500,-7500,
2014,1,10468,NY,Bronx,345000,1210000,865000,
2014,1,10451,NY,Bronx,120000,125000,5000,
2014,1,10452,NY,Bronx,0,0,0,
2014,1,10456,NY,Bronx,325000,300000,-25000,
2014,1,10454,NY,Bronx,695000,970000,275000,
2014,1,10455,NY,Bronx,0,0,0,
2014,1,10459,NY,Bronx,665000,857250,192250,
2014,1,10474,NY,Bronx,2175000,0,-2175000,
2014,1,10463,NY,Bronx,140000,207500,67500,
2014,1,10471,NY,Bronx,285000,195000,-90000,
2014,1,10466,NY,Bronx,629900,999000,369100,
2014,1,10469,NY,Bronx,440000,378500,-61500,
2014,1,10470,NY,Bronx,79450,76157,-3293,
2014,1,10475,NY,Bronx,0,0,0,
2014,1,10461,NY,Bronx,737450,650000,-87450,
2014,1,10462,NY,Bronx,147500,449000,301500,
2014,1,10464,NY,Bronx,0,0,0,
2014,1,10465,NY,Bronx,499000,200025,-298975,
2014,1,10472,NY,Bronx,479000,479000,0,
2014,1,10473,NY,Bronx,462000,269500,-192500,
2014,1,11212,NY,Brooklyn,587500,624500,37000,
2014,1,11213,NY,Brooklyn,700000,699000,-1000,
2014,1,11216,NY,Brooklyn,729000,549000,-180000,
2014,1,11233,NY,Brooklyn,679000,699500,20500,
2014,1,11238,NY,Brooklyn,699000,645000,-54000,
2014,1,11209,NY,Brooklyn,179500,157000,-22500,
2014,1,11214,NY,Brooklyn,862000,950000,88000,
2014,1,11228,NY,Brooklyn,733500,605000,-128500,
2014,1,11204,NY,Brooklyn,0,177000,177000,
2014,1,11218,NY,Brooklyn,399000,219000,-180000,
2014,1,11219,NY,Brooklyn,1087500,0,-1087500,
2014,1,11230,NY,Brooklyn,279250,614250,335000,
2014,1,11234,NY,Brooklyn,110000,129000,19000,
2014,1,11236,NY,Brooklyn,420000,469500,49500,
2014,1,11239,NY,Brooklyn,0,0,0,
2014,1,11223,NY,Brooklyn,1225000,1700000,475000,
2014,1,11224,NY,Brooklyn,0,729000,729000,
2014,1,11229,NY,Brooklyn,599000,272740,-326260,
2014,1,11235,NY,Brooklyn,332153,329406,-2747,
2014,1,11201,NY,Brooklyn,357000,385000,28000,
2014,1,11205,NY,Brooklyn,875000,700000,-175000,
2014,1,11215,NY,Brooklyn,475000,475000,0,
2014,1,11217,NY,Brooklyn,495000,482500,-12500,
2014,1,11231,NY,Brooklyn,1300000,1100000,-200000,
2014,1,11203,NY,Brooklyn,115750,429000,313250,
2014,1,11210,NY,Brooklyn,749000,1600000,851000,
2014,1,11225,NY,Brooklyn,729000,134000,-595000,
2014,1,11226,NY,Brooklyn,1099500,449000,-650500,
2014,1,11207,NY,Brooklyn,569000,485000,-84000,
2014,1,11208,NY,Brooklyn,399000,495000,96000,
2014,1,11211,NY,Brooklyn,495495,480000,-15495,
2014,1,11222,NY,Brooklyn,387000,415500,28500,
2014,1,11220,NY,Brooklyn,849000,1350000,501000,
2014,1,11232,NY,Brooklyn,899000,123500,-775500,
2014,1,11206,NY,Brooklyn,669500,385000,-284500,
2014,1,11221,NY,Brooklyn,595000,514250,-80750,
2014,1,11237,NY,Brooklyn,650000,299000,-351000,
2014,1,10026,NY,Manhattan,1412500,1200000,-212500,
2014,1,10027,NY,Manhattan,1057000,895000,-162000,
2014,1,10030,NY,Manhattan,1975000,1855000,-120000,
2014,1,10037,NY,Manhattan,135000,140000,5000,
2014,1,10039,NY,Manhattan,269000,249000,-20000,
2014,1,10001,NY,Manhattan,549000,550000,1000,
2014,1,10011,NY,Manhattan,525000,450000,-75000,
2014,1,10018,NY,Manhattan,742000,418000,-324000,
2014,1,10019,NY,Manhattan,535000,537000,2000,
2014,1,10020,NY,Manhattan,529000,0,-529000,
2014,1,10036,NY,Manhattan,600000,633450,33450,
2014,1,10029,NY,Manhattan,1900000,1510000,-390000,
2014,1,10035,NY,Manhattan,1019400,1197500,178100,
2014,1,10010,NY,Manhattan,450000,434000,-16000,
2014,1,10016,NY,Manhattan,404500,399000,-5500,
2014,1,10017,NY,Manhattan,315000,299000,-16000,
2014,1,10022,NY,Manhattan,419000,399000,-20000,
2014,1,10012,NY,Manhattan,475000,599000,124000,
2014,1,10013,NY,Manhattan,1100000,2200000,1100000,
2014,1,10014,NY,Manhattan,499000,499000,0,
2014,1,10004,NY,Manhattan,630000,603500,-26500,
2014,1,10005,NY,Manhattan,740500,799000,58500,
2014,1,10006,NY,Manhattan,595000,595000,0,
2014,1,10007,NY,Manhattan,895000,797000,-98000,
2014,1,10038,NY,Manhattan,565000,595000,30000,
2014,1,10280,NY,Manhattan,575000,545000,-30000,
2014,1,10002,NY,Manhattan,3550000,3900000,350000,
2014,1,10003,NY,Manhattan,475000,469000,-6000,
2014,1,10009,NY,Manhattan,499000,599000,100000,
2014,1,10021,NY,Manhattan,415000,399756,-15244,
2014,1,10028,NY,Manhattan,399000,357500,-41500,
2014,1,10044,NY,Manhattan,479450,0,-479450,
2014,1,10128,NY,Manhattan,390000,398500,8500,
2014,1,10023,NY,Manhattan,399000,379000,-20000,
2014,1,10024,NY,Manhattan,530000,499000,-31000,
2014,1,10025,NY,Manhattan,442000,379000,-63000,
2014,1,10031,NY,Manhattan,795000,740000,-55000,
2014,1,10032,NY,Manhattan,649000,975000,326000,
2014,1,10033,NY,Manhattan,314000,299000,-15000,
2014,1,10034,NY,Manhattan,198000,199000,1000,
2014,1,10040,NY,Manhattan,195000,194250,-750,
2014,1,11361,NY,Queens,235333,65999,-169334,
2014,1,11362,NY,Queens,563500,129000,-434500,
2014,1,11363,NY,Queens,139900,517450,377550,
2014,1,11364,NY,Queens,139000,139000,0,
2014,1,11354,NY,Queens,109500,0,-109500,
2014,1,11355,NY,Queens,395000,0,-395000,
2014,1,11356,NY,Queens,360000,0,-360000,
2014,1,11357,NY,Queens,875000,0,-875000,
2014,1,11358,NY,Queens,1124000,749000,-375000,
2014,1,11359,NY,Queens,0,0,0,
2014,1,11360,NY,Queens,323500,0,-323500,
2014,1,11365,NY,Queens,962500,695000,-267500,
2014,1,11366,NY,Queens,0,0,0,
2014,1,11367,NY,Queens,264000,198944,-65056,
2014,1,11412,NY,Queens,549000,0,-549000,
2014,1,11423,NY,Queens,398000,200000,-198000,
2014,1,11432,NY,Queens,84900,82000,-2900,
2014,1,11433,NY,Queens,140000,0,-140000,
2014,1,11434,NY,Queens,469000,0,-469000,
2014,1,11435,NY,Queens,175000,107000,-68000,
2014,1,11436,NY,Queens,139000,0,-139000,
2014,1,11101,NY,Queens,567500,462850,-104650,
2014,1,11102,NY,Queens,399900,325000,-74900,
2014,1,11103,NY,Queens,229000,0,-229000,
2014,1,11104,NY,Queens,90000,238444,148444,
2014,1,11105,NY,Queens,420170,344000,-76170,
2014,1,11106,NY,Queens,659000,299000,-360000,
2014,1,11374,NY,Queens,129000,135000,6000,
2014,1,11375,NY,Queens,129450,135000,5550,
2014,1,11379,NY,Queens,1200000,0,-1200000,
2014,1,11385,NY,Queens,629000,679000,50000,
2014,1,11691,NY,Queens,1350000,0,-1350000,
2014,1,11692,NY,Queens,0,0,0,
2014,1,11693,NY,Queens,129450,228000,98550,
2014,1,11694,NY,Queens,159000,0,-159000,
2014,1,11695,NY,Queens,0,0,0,
2014,1,11697,NY,Queens,0,0,0,
2014,1,11004,NY,Queens,217400,0,-217400,
2014,1,11005,NY,Queens,800000,487500,-312500,
2014,1,11411,NY,Queens,0,0,0,
2014,1,11413,NY,Queens,399000,0,-399000,
2014,1,11422,NY,Queens,519500,0,-519500,
2014,1,11426,NY,Queens,712000,875000,163000,
2014,1,11427,NY,Queens,790000,0,-790000,
2014,1,11428,NY,Queens,330888,0,-330888,
2014,1,11429,NY,Queens,949000,799000,-150000,
2014,1,11414,NY,Queens,849950,4390000,3540050,
2014,1,11415,NY,Queens,169000,136250,-32750,
2014,1,11416,NY,Queens,579000,150000,-429000,
2014,1,11417,NY,Queens,3800,3800,0,
2014,1,11418,NY,Queens,389000,419000,30000,
2014,1,11419,NY,Queens,1849500,169000,-1680500,
2014,1,11420,NY,Queens,699000,3200,-695800,
2014,1,11421,NY,Queens,900000,450700,-449300,
2014,1,11368,NY,Queens,690000,219000,-471000,
2014,1,11369,NY,Queens,0,0,0,
2014,1,11370,NY,Queens,529750,503370,-26380,
2014,1,11372,NY,Queens,139000,154450,15450,
2014,1,11373,NY,Queens,199000,275000,76000,
2014,1,11377,NY,Queens,189000,139000,-50000,
2014,1,11378,NY,Queens,689000,661944,-27056,
2014,1,10302,NY,Staten Island,13200000,25000000,11800000,
2014,1,10303,NY,Staten Island,1600000,475000,-1125000,
2014,1,10310,NY,Staten Island,269000,139000,-130000,
2014,1,10306,NY,Staten Island,599000,324950,-274050,
2014,1,10307,NY,Staten Island,0,0,0,
2014,1,10308,NY,Staten Island,0,0,0,
2014,1,10309,NY,Staten Island,1247000,0,-1247000,
2014,1,10312,NY,Staten Island,1862500,0,-1862500,
2014,1,10301,NY,Staten Island,899000,1499999,600999,
2014,1,10304,NY,Staten Island,761500,469000,-292500,
2014,1,10305,NY,Staten Island,592750,1247000,654250,
2014,1,10314,NY,Staten Island,549000,574000,25000,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
