year, zip, Q1, Q2, Q3, Q4, mean
2014, 10453, 500000, 500000, 500000, 500000, 500000
2014, 10457, 5000000, 5000000, 5000000, 5000000, 5000000
2014, 10460, 540000, 540000, 540000, 540000, 540000
2014, 10458, 356250, 356250, 356250, 356250, 356250
2014, 10467, 151500, 151500, 151500, 151500, 151500
2014, 10468, 1210000, 1210000, 1210000, 1210000, 1210000
2014, 10451, 125000, 125000, 125000, 125000, 125000
2014, 10452, N/A, N/A, N/A, N/A, N/A
2014, 10456, 300000, 300000, 300000, 300000, 300000
2014, 10454, 970000, 970000, 970000, 970000, 970000
2014, 10455, N/A, N/A, N/A, N/A, N/A
2014, 10459, 857250, 857250, 857250, 857250, 857250
2014, 10474, N/A, N/A, N/A, N/A, N/A
2014, 10463, 207500, 207500, 207500, 207500, 207500
2014, 10471, 195000, 195000, 195000, 195000, 195000
2014, 10466, 999000, 999000, 999000, 999000, 999000
2014, 10469, 378500, 378500, 378500, 378500, 378500
2014, 10470, 76157, 76157, 76157, 76157, 76157
2014, 10475, N/A, N/A, N/A, N/A, N/A
2014, 10461, 650000, 650000, 650000, 650000, 650000
2014, 10462, 449000, 449000, 449000, 449000, 449000
2014, 10464, N/A, N/A, N/A, N/A, N/A
2014, 10465, 200025, 200025, 200025, 200025, 200025
2014, 10472, 479000, 479000, 479000, 479000, 479000
2014, 10473, 269500, 269500, 269500, 269500, 269500
2014, 11212, 624500, 624500, 624500, 624500, 624500
2014, 11213, 699000, 699000, 699000, 699000, 699000
2014, 11216, 549000, 549000, 549000, 549000, 549000
2014, 11233, 699500, 699500, 699500, 699500, 699500
2014, 11238, 645000, 645000, 645000, 645000, 645000
2014, 11209, 157000, 157000, 157000, 157000, 157000
2014, 11214, 950000, 950000, 950000, 950000, 950000
2014, 11228, 605000, 605000, 605000, 605000, 605000
2014, 11204, 177000, 177000, 177000, 177000, 177000
2014, 11218, 219000, 219000, 219000, 219000, 219000
2014, 11219, N/A, N/A, N/A, N/A, N/A
2014, 11230, 614250, 614250, 614250, 614250, 614250
2014, 11234, 129000, 129000, 129000, 129000, 129000
2014, 11236, 469500, 469500, 469500, 469500, 469500
2014, 11239, N/A, N/A, N/A, N/A, N/A
2014, 11223, 1700000, 1700000, 1700000, 1700000, 1700000
2014, 11224, 729000, 729000, 729000, 729000, 729000
2014, 11229, 272740, 272740, 272740, 272740, 272740
2014, 11235, 329406, 329406, 329406, 329406, 329406
2014, 11201, 385000, 385000, 385000, 385000, 385000
2014, 11205, 700000, 700000, 700000, 700000, 700000
2014, 11215, 475000, 475000, 475000, 475000, 475000
2014, 11217, 482500, 482500, 482500, 482500, 482500
2014, 11231, 1100000, 1100000, 1100000, 1100000, 1100000
2014, 11203, 429000, 429000, 429000, 429000, 429000
2014, 11210, 1600000, 1600000, 1600000, 1600000, 1600000
2014, 11225, 134000, 134000, 134000, 134000, 134000
2014, 11226, 449000, 449000, 449000, 449000, 449000
2014, 11207, 485000, 485000, 485000, 485000, 485000
2014, 11208, 495000, 495000, 495000, 495000, 495000
2014, 11211, 480000, 480000, 480000, 480000, 480000
2014, 11222, 415500, 415500, 415500, 415500, 415500
2014, 11220, 1350000, 1350000, 1350000, 1350000, 1350000
2014, 11232, 123500, 123500, 123500, 123500, 123500
2014, 11206, 385000, 385000, 385000, 385000, 385000
2014, 11221, 514250, 514250, 514250, 514250, 514250
2014, 11237, 299000, 299000, 299000, 299000, 299000
2014, 10026, 1200000, 1200000, 1200000, 1200000, 1200000
2014, 10027, 895000, 895000, 895000, 895000, 895000
2014, 10030, 1855000, 1855000, 1855000, 1855000, 1855000
2014, 10037, 140000, 140000, 140000, 140000, 140000
2014, 10039, 249000, 249000, 249000, 249000, 249000
2014, 10001, 550000, 550000, 550000, 550000, 550000
2014, 10011, 450000, 450000, 450000, 450000, 450000
2014, 10018, 418000, 418000, 418000, 418000, 418000
2014, 10019, 537000, 537000, 537000, 537000, 537000
2014, 10020, N/A, N/A, N/A, N/A, N/A
2014, 10036, 633450, 633450, 633450, 633450, 633450
2014, 10029, 1510000, 1510000, 1510000, 1510000, 1510000
2014, 10035, 1197500, 1197500, 1197500, 1197500, 1197500
2014, 10010, 434000, 434000, 434000, 434000, 434000
2014, 10016, 399000, 399000, 399000, 399000, 399000
2014, 10017, 299000, 299000, 299000, 299000, 299000
2014, 10022, 399000, 399000, 399000, 399000, 399000
2014, 10012, 599000, 599000, 599000, 599000, 599000
2014, 10013, 2200000, 2200000, 2200000, 2200000, 2200000
2014, 10014, 499000, 499000, 499000, 499000, 499000
2014, 10004, 603500, 603500, 603500, 603500, 603500
2014, 10005, 799000, 799000, 799000, 799000, 799000
2014, 10006, 595000, 595000, 595000, 595000, 595000
2014, 10007, 797000, 797000, 797000, 797000, 797000
2014, 10038, 595000, 595000, 595000, 595000, 595000
2014, 10280, 545000, 545000, 545000, 545000, 545000
2014, 10002, 3900000, 3900000, 3900000, 3900000, 3900000
2014, 10003, 469000, 469000, 469000, 469000, 469000
2014, 10009, 599000, 599000, 599000, 599000, 599000
2014, 10021, 399756, 399756, 399756, 399756, 399756
2014, 10028, 357500, 357500, 357500, 357500, 357500
2014, 10044, N/A, N/A, N/A, N/A, N/A
2014, 10128, 398500, 398500, 398500, 398500, 398500
2014, 10023, 379000, 379000, 379000, 379000, 379000
2014, 10024, 499000, 499000, 499000, 499000, 499000
2014, 10025, 379000, 379000, 379000, 379000, 379000
2014, 10031, 740000, 740000, 740000, 740000, 740000
2014, 10032, 975000, 975000, 975000, 975000, 975000
2014, 10033, 299000, 299000, 299000, 299000, 299000
2014, 10034, 199000, 199000, 199000, 199000, 199000
2014, 10040, 194250, 194250, 194250, 194250, 194250
2014, 11361, 65999, 65999, 65999, 65999, 65999
2014, 11362, 129000, 129000, 129000, 129000, 129000
2014, 11363, 517450, 517450, 517450, 517450, 517450
2014, 11364, 139000, 139000, 139000, 139000, 139000
2014, 11354, N/A, N/A, N/A, N/A, N/A
2014, 11355, N/A, N/A, N/A, N/A, N/A
2014, 11356, N/A, N/A, N/A, N/A, N/A
