year,red,orange,yellow,green,blue,indigo,violet,people,have
1965,5656,1703,1021,4208,3167,21,168,13614,49491
1966,6672,2247,1302,5592,4016,23,214,16004,52037
1967,7129,2132,1330,5308,3911,21,207,15552,49538
1968,5745,1795,1118,3768,3453,18,150,17061,49760
1969,5303,1555,1147,3684,3334,23,157,16445,48184
1970,6036,1851,1282,4816,3932,22,131,17049,46140
1971,5031,1527,992,3552,3283,11,138,17794,46859
1972,5570,1968,1115,3760,3687,17,105,19698,50155
1973,6748,2107,1263,5451,4438,24,148,21786,52570
1974,6684,2061,1277,5081,4237,28,112,21549,52583
1975,6491,1926,1250,4551,4251,27,129,22253,53190
1976,6693,2001,1341,4617,4661,18,144,23398,52521
1977,6766,2293,1462,5055,4968,33,120,24576,53825
1978,5263,1691,1143,3491,3547,29,146,19082,40902
1979,6256,1973,1566,4597,4260,20,148,23640,50294
1980,9037,2900,2181,6644,6330,28,217,38341,79360
1981,5132,1623,1350,3895,3534,31,109,25787,51861
1982,5049,1553,1166,3602,3510,26,95,25392,51123
1983,4743,1603,1133,3535,3435,22,78,25555,49642
1984,4808,1687,1195,3698,3604,34,81,27099,51669
1985,5517,1636,1397,3965,4056,28,120,27890,52832
1986,5686,1570,1494,4103,4148,38,104,29207,54816
1987,5432,1552,1347,3609,4200,37,114,28718,53612
1988,5417,1554,1327,3955,3897,44,100,28915,53441
1989,5339,1566,1418,4133,3916,55,81,28478,52059
1990,5515,1586,1497,3623,3764,59,98,27838,50740
1991,5146,1449,1436,3513,3746,49,85,26711,48286
1992,5374,1563,1275,3667,4157,37,78,27211,48299
1993,5100,1354,1271,3818,4191,38,82,26525,46442
1994,4986,1527,1362,3869,3815,49,78,26606,45522
1995,5421,1755,1350,3792,3957,39,82,26726,46715
1996,5707,1699,1523,4398,4189,41,105,28882,48534
1997,5764,1702,1566,4452,4412,47,138,28074,49700
1998,6381,1912,1840,4871,4925,57,139,29463,53821
1999,6462,1993,1844,4926,5020,56,125,31279,55284
2000,6626,2066,1756,5369,5373,75,152,33068,57267
2001,7048,1937,1802,5300,5380,56,127,33384,57186
2002,7224,1943,1871,5255,5274,64,128,34133,59355
2003,7283,2180,1878,4982,5015,40,117,33867,58484
2004,7775,2079,1862,5041,5183,57,141,32620,56417
2005,7573,2211,1729,5009,4955,60,121,32740,56741
2006,9396,2672,2328,6853,6196,65,159,39715,73070
2007,9823,2707,2295,7567,6241,112,153,44256,82084
2008,10784,2603,2191,8662,7193,87,194,45394,85546
2009,10887,3168,2288,9854,6879,82,199,48257,92154
2010,10645,2896,2422,9256,6840,93,185,46911,89632
2011,10476,2568,2217,8965,6704,110,294,46641,84759
2012,10522,2325,2258,7991,6609,83,181,44947,81820
2013,8825,2109,2058,5850,5637,92,201,38963,68268
2014,16249,3900,3629,10678,10064,133,324,93552,180470
