number,year,animal,have
9,1851,pig,2150
53,1852,rat,9432
94,1853,cow,11058
93,1854,tiger,10314
60,1855,rabbit,9037
53,1856,dragon,8278
109,1857,snake,8777
142,1858,horse,9075
77,1859,sheep,7734
116,1860,monkey,11085
44,1861,rooster,14572
25,1862,dog,14567
24,1863,pig,12500
29,1864,rat,11338
40,1865,cow,12238
47,1866,tiger,9561
73,1867,rabbit,10318
95,1868,dragon,10828
55,1869,snake,10416
86,1870,horse,11961
77,1871,sheep,15526
54,1872,monkey,16354
55,1873,rooster,15380
69,1874,dog,16512
39,1875,pig,15081
52,1876,rat,15997
46,1877,cow,13891
72,1878,tiger,19238
103,1879,rabbit,21254
104,1880,dragon,21625
107,1881,snake,21609
123,1882,horse,21538
115,1883,sheep,24779
98,1884,monkey,25229
109,1885,rooster,24735
99,1886,dog,23591
82,1887,pig,23028
85,1888,rat,23634
68,1889,cow,23692
154,1890,tiger,23697
192,1891,rabbit,24535
183,1892,dragon,26935
171,1893,snake,27917
193,1894,horse,29349
277,1895,sheep,32252
141,1896,monkey,26308
204,1897,rooster,27690
241,1898,dog,31535
222,1899,pig,31013
385,1900,rat,33266
296,1901,cow,32135
279,1902,tiger,32817
266,1903,rabbit,33418
288,1904,dragon,29055
192,1905,snake,26737
185,1906,horse,27388
180,1907,sheep,30098
175,1908,monkey,29671
168,1909,rooster,29757
194,1910,dog,33828
224,1911,pig,33007
289,1912,rat,36145
258,1913,cow,34250
212,1914,tiger,37915
238,1915,rabbit,39862
191,1916,dragon,35591
160,1917,snake,34022
101,1918,horse,33375
164,1919,sheep,34787
186,1920,monkey,37410
291,1921,rooster,42472
238,1922,dog,44396
376,1923,pig,44322
441,1924,rat,43708
511,1925,cow,47586
500,1926,tiger,53566
560,1927,rabbit,58772
522,1928,dragon,60756
447,1929,snake,60996
445,1930,horse,63162
555,1931,sheep,62147
645,1932,monkey,58866
465,1933,rooster,59525
373,1934,dog,61330
435,1935,pig,60650
381,1936,rat,62119
626,1937,cow,58603
633,1938,tiger,54036
643,1939,rabbit,57425
526,1940,dragon,57758
402,1941,snake,61457
484,1942,horse,58020
411,1943,sheep,51914
384,1944,monkey,49836
457,1945,rooster,46717
473,1946,dog,51288
445,1947,pig,54512
377,1948,rat,51095
486,1949,cow,53285
943,1950,tiger,52773
977,1951,rabbit,51511
782,1952,dragon,52071
752,1953,snake,50391
656,1954,horse,48508
733,1955,sheep,48321
571,1956,monkey,48940
577,1957,rooster,48716
537,1958,dog,48058
694,1959,pig,50160
640,1960,rat,51690
529,1961,cow,51127
740,1962,tiger,49929
789,1963,rabbit,44440
829,1964,dragon,53038
763,1965,snake,49491
1049,1966,horse,52037
942,1967,sheep,49538
626,1968,monkey,49760
677,1969,rooster,48184
766,1970,dog,46140
945,1971,pig,46859
908,1972,rat,50155
1003,1973,cow,52570
820,1974,tiger,52583
918,1975,rabbit,53190
1010,1976,dragon,52521
933,1977,snake,53825
895,1978,horse,40902
1323,1979,sheep,50294
1484,1980,monkey,79360
781,1981,rooster,51861
704,1982,dog,51123
622,1983,pig,49642
704,1984,rat,51669
712,1985,cow,52832
711,1986,tiger,54816
851,1987,rabbit,53612
836,1988,dragon,53441
1095,1989,snake,52059
983,1990,horse,50740
714,1991,sheep,48286
682,1992,monkey,48299
758,1993,rooster,46442
765,1994,dog,45522
753,1995,pig,46715
925,1996,rat,48534
1081,1997,cow,49700
1195,1998,tiger,53821
1179,1999,rabbit,55284
1232,2000,dragon,57267
1077,2001,snake,57186
938,2002,horse,59355
1157,2003,sheep,58484
1138,2004,monkey,56417
1228,2005,rooster,56741
1446,2006,dog,73070
1795,2007,pig,82084
1875,2008,rat,85546
1910,2009,cow,92154
2157,2010,tiger,89632
2064,2011,rabbit,88292
2461,2012,dragon,85911
2086,2013,snake,68421
4717,2014,horse,180470
