,110,111,similarity
5240,hr1200.110,hr1.111,0.5064298004446356
2867,hr3043.110,hr1.111,0.5564063606533126
10544,hr3162.110,hr1.111,0.5193897536513918
7899,hr3800.110,hr1.111,0.5529272854521708
6971,hr5442.110,hr1.111,0.5036524432752415
6847,hr6357.110,hr1.111,0.5868894819317144
9552,hr6898.110,hr1.111,0.6638005487955834
6691,hr6441.110,hr100.111,0.5641743514703014
615,hr1659.110,hr1000.111,0.9415992724970301
10172,hr1358.110,hr1001.111,0.9959693062571768
7445,hr1645.110,hr1001.111,0.604990117026378
1122,hr2504.110,hr1001.111,0.5812904493291378
1628,hr4155.110,hr1002.111,0.9777574438508898
12209,hr3097.110,hr1003.111,0.8126732339437174
1096,hr3108.110,hr1003.111,0.7539732578695995
1261,hr7106.110,hr1003.111,0.9660708019173443
11476,hr1041.110,hr1004.111,0.9833439926254369
575,hr1382.110,hr1004.111,0.5490384909971331
10240,hr2005.110,hr1004.111,0.5323056354879666
3891,hr3000.110,hr1004.111,0.5087221507013612
6670,hr3455.110,hr1004.111,0.6071810308859915
1208,hr4107.110,hr1004.111,0.5733064816154612
7065,hr5622.110,hr1004.111,0.613726236979956
8268,hr6939.110,hr1004.111,0.6178231816436226
1735,hr92.110,hr1004.111,0.5732716742689153
9169,hr4196.110,hr1005.111,0.9969399260811109
8674,hr1145.110,hr1007.111,0.5662464929331117
11223,hr1270.110,hr1007.111,0.6254609821864716
8209,hr1297.110,hr1007.111,0.6474858156539154
5914,hr1483.110,hr1007.111,0.6803173161588365
6826,hr1625.110,hr1007.111,0.6086015956050469
1186,hr1885.110,hr1007.111,0.66180815566322
4315,hr2998.110,hr1007.111,0.5145675623680244
132,hr319.110,hr1007.111,0.6122068536815036
9856,hr3335.110,hr1007.111,0.6307075787135146
12506,hr4457.110,hr1007.111,0.9982773442488715
9729,hr5279.110,hr1007.111,0.65093849512713
8001,hr6678.110,hr1007.111,0.6796203798046908
4658,hr713.110,hr1007.111,0.5236081808304651
10316,hr859.110,hr1007.111,0.5433325042308167
4700,hr1196.110,hr1008.111,0.5926888837322488
8485,hr2082.110,hr1008.111,0.6640682730918942
12629,hr334.110,hr1008.111,0.5630179542122403
35,hr488.110,hr1008.111,0.5219329721707543
4046,hr5959.110,hr1008.111,0.6842201942109424
4464,hr5973.110,hr1008.111,0.5630695412342713
11451,hr978.110,hr1008.111,0.9862635278003614
1576,hr5030.110,hr1009.111,0.9817484255112042
4166,hr5565.110,hr101.111,0.5293205293196162
5498,hr5643.110,hr101.111,0.7148462633959584
12313,hr5670.110,hr101.111,0.5435562585311322
4479,hr5974.110,hr101.111,0.5990274357134999
88,hr6181.110,hr101.111,0.6334657706554736
8986,hr7325.110,hr101.111,0.9543563373544457
9969,hr1123.110,hr1010.111,0.8742970268677
7936,hr1669.110,hr1011.111,0.6998135578001471
3160,hr2073.110,hr1011.111,0.5153909913057719
5177,hr2173.110,hr1011.111,0.5532975810976476
10906,hr2612.110,hr1011.111,0.5520247453525042
3038,hr2646.110,hr1011.111,0.6811217046461131
3045,hr2647.110,hr1011.111,0.6158286281316455
10427,hr3014.110,hr1011.111,0.5213480719615942
6279,hr3430.110,hr1011.111,0.6439552806789913
10759,hr4232.110,hr1011.111,0.6483722317771701
2841,hr4899.110,hr1011.111,0.6209214178100163
992,hr5176.110,hr1011.111,0.9921858307481863
3053,hr6948.110,hr1011.111,0.6592707010952829
371,hr7302.110,hr1011.111,0.507685093946084
1742,hr99.110,hr1013.111,0.9841943247700397
8581,hr1858.110,hr1015.111,0.9812206280156107
8266,hr6939.110,hr1016.111,0.7360106193005197
1378,hr1470.110,hr1017.111,0.8008706156114226
1380,hr1471.110,hr1017.111,0.7719080541463655
6403,hr1554.110,hr1017.111,0.648168715985054
2431,hr249.110,hr1018.111,0.7569035809957944
312,hr3679.110,hr1019.111,0.7107263265988263
272,hr123.110,hr102.111,0.9439001976455558
10399,hr3010.110,hr1020.111,0.9643808023981145
907,hr6478.110,hr1021.111,0.9457699791888527
10987,hr1069.110,hr1022.111,0.7014782070875453
2603,hr1582.110,hr1022.111,0.9435744740892325
1437,hr1692.110,hr1022.111,0.7576382444998585
9057,hr3150.110,hr1022.111,0.7272355229539096
7197,hr3474.110,hr1022.111,0.7400866262408353
8783,hr3547.110,hr1022.111,0.9634392570906439
5090,hr367.110,hr1022.111,0.5031075014769967
4113,hr3922.110,hr1022.111,0.9130284945432183
2521,hr638.110,hr1022.111,0.810591568797528
6222,hr880.110,hr1022.111,0.7753231601311502
1945,hr1150.110,hr1023.111,0.5584037777746141
4687,hr1263.110,hr1023.111,0.5059694175320721
3247,hr1754.110,hr1023.111,0.5158401881448671
10598,hr2024.110,hr1023.111,0.5002699547694138
4611,hr2416.110,hr1023.111,0.6754177962651821
2982,hr265.110,hr1023.111,0.5670994656667463
4341,hr3244.110,hr1023.111,0.5329905808922112
2887,hr3519.110,hr1023.111,0.5105190215905836
3726,hr3724.110,hr1023.111,0.5519104943406812
12555,hr4239.110,hr1023.111,0.5168432467716426
717,hr506.110,hr1023.111,0.5789274693606584
6940,hr515.110,hr1023.111,0.5158375128723518
8446,hr572.110,hr1023.111,0.502838085899922
7784,hr5980.110,hr1023.111,0.5226480866012354
10935,hr6319.110,hr1023.111,0.6624370430759063
5334,hr7007.110,hr1023.111,0.5194658700118746
2251,hr7071.110,hr1023.111,0.9938313971409927
1225,hr7104.110,hr1023.111,0.5380003826674667
3656,hr7206.110,hr1023.111,0.5537117263860092
7313,hr7275.110,hr1023.111,0.5642396759560274
5547,hr905.110,hr1023.111,0.5209655130659614
12065,hr2221.110,hr1024.111,0.9968707184706632
1888,hr2238.110,hr1025.111,0.9520865768393695
3105,hr1346.110,hr1026.111,0.5568446200974214
4540,hr4261.110,hr1027.111,0.5135574019772433
5567,hr4194.110,hr1028.111,0.6904634673911162
12515,hr4453.110,hr1028.111,0.6907207491257898
6929,hr2399.110,hr1029.111,0.9725222371450403
1579,hr5038.110,hr103.111,0.990119190737297
1781,hr3368.110,hr1030.111,0.9328285982997582
4259,hr6568.110,hr1030.111,0.9874910234190141
5242,hr1200.110,hr1031.111,0.5304051426965612
10436,hr1952.110,hr1031.111,0.5146403507255665
2713,hr2585.110,hr1031.111,0.7199725435563805
3882,hr3000.110,hr1031.111,0.5322301092588345
10413,hr3014.110,hr1031.111,0.567980608005396
7901,hr3800.110,hr1031.111,0.6536124591689909
6972,hr5442.110,hr1031.111,0.6048447491113293
3702,hr5545.110,hr1031.111,0.7279848575135551
10666,hr5885.110,hr1031.111,0.9970704949493816
6492,hr6163.110,hr1031.111,0.5246278240909351
12792,hr6179.110,hr1031.111,0.6270360421752937
6848,hr6357.110,hr1031.111,0.5485581329586404
9554,hr6898.110,hr1031.111,0.5786146831406194
5583,hr1014.110,hr1032.111,0.7490714941354703
6807,hr1628.110,hr1033.111,0.6095726437643008
7453,hr1645.110,hr1033.111,0.5187633907414226
3694,hr6519.110,hr1033.111,0.9510202337854409
8109,hr7111.110,hr1034.111,0.9923302924257421
1389,hr1478.110,hr1035.111,0.5132755064128798
2215,hr1795.110,hr1035.111,0.6617567022995131
10321,hr6792.110,hr1036.111,0.96903887539903
8750,hr6224.110,hr1037.111,0.8021066074667816
6339,hr5877.110,hr1038.111,0.904485880971733
