113,112,similarity
hr10.113,hr1525.112,0.801790438
hr10.113,hr2218.112,0.865069078
hr10.113,hr2684.112,0.527595613
hr10.113,hr471.112,0.524922952
hr100.113,hr6117.112,0.770932245
hr1000.113,hr2368.112,0.572290793
hr1000.113,hr3638.112,0.512546066
hr1000.113,hr4277.112,0.794612698
hr1000.113,hr870.112,0.690668315
hr1001.113,hr6346.112,0.747568067
hr1002.113,hr769.112,0.509633868
hr1003.113,hr1840.112,0.815934835
hr1003.113,hr2308.112,0.604019414
hr1004.113,hr2037.112,0.739331493
hr1004.113,hr2378.112,0.811820086
hr1004.113,hr2448.112,0.795969241
hr1004.113,hr4099.112,0.686128023
hr1004.113,hr4148.112,0.782576923
hr1004.113,hr486.112,0.850467081
hr1005.113,hr127.112,0.568414667
hr1005.113,hr141.112,0.532577886
hr1005.113,hr145.112,0.501507879
hr1005.113,hr698.112,0.565275107
hr1007.113,hr1692.112,0.829523314
hr1007.113,hr6608.112,0.584987069
hr1008.113,hr2152.112,0.838646824
hr1009.113,hr376.112,0.844294441
hr101.113,hr1587.112,0.767584629
hr101.113,hr4058.112,0.673789183
hr1010.113,hr5901.112,0.599293405
hr1010.113,hr6211.112,0.793881311
hr1011.113,hr3227.112,0.773702916
hr1012.113,hr6200.112,0.771511724
hr1013.113,hr93.112,0.532421141
hr1013.113,hr94.112,0.532520383
hr1013.113,hr95.112,0.53433166
hr1015.113,hr718.112,0.819690903
hr1016.113,hr6238.112,0.799020237
hr1017.113,hr2588.112,0.769900555
hr1018.113,hr3268.112,0.685473354
hr1019.113,hr416.112,0.611528275
hr102.113,hr6021.112,0.823530188
hr1021.113,hr4193.112,0.815773565
hr1021.113,hr643.112,0.51856698
hr1022.113,hr952.112,0.816716532
hr1023.113,hr823.112,0.800143157
hr1025.113,hr2912.112,0.500358314
hr1025.113,hr5545.112,0.80448673
hr1026.113,hr2429.112,0.841351942
hr1027.113,hr1367.112,0.898769215
hr1027.113,hr1875.112,0.691548584
hr1029.113,hr797.112,0.597848595
hr103.113,hr6643.112,0.593234547
hr1030.113,hr456.112,0.768530217
hr1030.113,hr776.112,0.555781788
hr1030.113,hr798.112,0.877390361
hr1031.113,hr796.112,0.820507675
hr1032.113,hr6289.112,0.647694851
hr1033.113,hr2489.112,0.72294099
hr1034.113,hr2912.112,0.779671792
hr1035.113,hr1026.112,0.60530845
hr1035.113,hr1309.112,0.633659117
hr1035.113,hr1430.112,0.521178711
hr1035.113,hr1453.112,0.502469498
hr1035.113,hr435.112,0.574423652
hr1035.113,hr5652.112,0.599256622
hr1035.113,hr5740.112,0.64730973
hr1035.113,hr6186.112,0.823267109
hr1035.113,hr700.112,0.508695217
hr1035.113,hr902.112,0.514526538
hr1036.113,hr5788.112,0.664393118
hr1037.113,hr3762.112,0.66189589
hr104.113,hr1006.112,0.756426035
hr1040.113,hr1040.112,0.772627041
hr1049.113,hr3917.112,0.536082233
hr1054.113,hr3947.112,0.510170744
hr106.113,hr121.112,0.683472742
hr106.113,hr262.112,0.561553015
hr106.113,hr297.112,0.635526492
hr1062.113,hr2308.112,0.566145547
hr1063.113,hr2011.112,0.785165483
hr1063.113,hr4402.112,0.539031488
hr1064.113,hr1112.112,0.895853807
hr1064.113,hr6667.112,0.518592447
hr1065.113,hr1737.112,0.80903736
hr1066.113,hr1599.112,0.529449788
hr1066.113,hr205.112,0.509818272
hr1066.113,hr2335.112,0.555082348
hr1066.113,hr2444.112,0.545866869
hr1066.113,hr3973.112,0.528299505
hr1066.113,hr536.112,0.515677168
hr1066.113,hr6274.112,0.851322774
hr1067.113,hr6602.112,0.777499883
hr1068.113,hr1950.112,0.757972574
hr1069.113,hr1769.112,0.653353232
hr1069.113,hr3193.112,0.659242493
hr1070.113,hr3198.112,0.749826066
hr1070.113,hr4120.112,0.830403771
hr1070.113,hr912.112,0.577321867
hr1072.113,hr1474.112,0.741838974
hr1073.113,hr5889.112,0.622202307
hr1074.113,hr2741.112,0.533492867
hr1074.113,hr2787.112,0.573813328
hr1074.113,hr2799.112,0.524077166
hr1074.113,hr2960.112,0.868309648
hr1074.113,hr6309.112,0.500327608
hr1076.113,hr6234.112,0.807654244
hr1077.113,hr4323.112,0.681362582
hr1078.113,hr931.112,0.542588721
hr108.113,hr124.112,0.56253198
hr108.113,hr236.112,0.502764531
hr1080.113,hr4408.112,0.613300677
hr1081.113,hr478.112,0.625484266
hr1083.113,hr5950.112,0.710419256
hr1084.113,hr3795.112,0.509280437
hr1084.113,hr401.112,0.922726384
hr1085.113,hr3979.112,0.576488088
hr1086.113,hr2280.112,0.843483596
hr1087.113,hr1293.112,0.822514193
hr1087.113,hr1557.112,0.554999634
hr1087.113,hr1842.112,0.521646001
hr1087.113,hr3017.112,0.50419593
hr1087.113,hr3823.112,0.539383106
